作者,名称,类型,进度,字数,发表时间,作品视角,所属系列,版权转化,签约状态,非v章节章均点击数,总书评数,当前被收藏数,文章积分,内容标签,评分,评价人数,五星比例,四星比例,三星比例,二星比例,一星比例
海馥薇,被上司冒充了Crush怎,原创-言情-近代现代-爱情,完结,310124,2025-07-12 17:55:57,女主,种好了 之 写完了,中国大陆出版最新签约,已签约,11204,5115,15049,"150,749,984","都市,天作之合,天之骄子,青梅竹马,业界精英,暗恋",9.2,21,67%,29%,5%,0%,0%
钟仅,重生之拯救大佬计划,原创-言情-近代现代-爱情,完结,298798,2024-04-06 03:21:01,女主,已完成,"中国大陆出版最新签约,广播剧签约,繁体出版(港/台)签约,亚洲出版签约",已签约,672152,20200,348271,"2,286,557,440","时代奇缘,情有独钟,甜文,校园,正剧",9.5,3040,81%,16%,3%,0%,0%
墨书白,沧澜道,原创-言情-架空历史-爱情,完结,1295223,2023-07-05 14:01:07,女主,完结,"网络剧签约,电视剧签约,中国大陆出版最新签约",已签约,169098,65426,174247,"3,327,479,808","乔装改扮,重生,美强惨,暗恋",9.6,454,85%,11%,3%,0%,0%
夏诺多吉,橘子发芽了,原创-言情-近代现代-爱情,完结,126076,2025-08-12 10:50:30,女主,New,中国大陆出版最新签约,已签约,26440,5832,23625,"351,909,312","治愈,日常",9.8,249,90%,9%,0%,0%,0%
清途R,我能看见他,原创-言情-近代现代-爱情,完结,80478,2023-10-28 12:31:41,女主,BE,"中国大陆出版最新签约,电影签约",已签约,11455,955,5863,"140,740,720","都市,虐文,正剧",暂无,0,0%,0%,0%,0%,0%
也骨,再渡长江,原创-言情-近代现代-爱情,完结,104772,2025-09-20 01:10:12,双视角,初雪,中国大陆出版最新签约,已签约,279,202,316,"6,886,273","校园,救赎",10,4,100%,0%,0%,0%,0%
岁岁无恙,但是小狗在乎,原创-言情-近代现代-爱情,完结,184186,2025-05-10 17:49:08,女主,正在努力中,中国大陆出版最新签约,已签约,3975,4483,6472,"147,460,048","情有独钟,近水楼台,甜文,校园,轻松",9.4,31,74%,23%,3%,0%,0%
岁见,没有人像你,原创-言情-近代现代-爱情,完结,299329,2025-05-12 01:23:54,女主,总有一本能看的/没有就算了/是我不配,"中国大陆出版最新签约,网络剧签约,广播剧签约,繁体出版(港/台)签约,亚洲出版签约",已签约,558698,29233,520688,"6,221,747,200","都市,天之骄子,业界精英,校园,暗恋",9.4,2288,76%,18%,4%,1%,0%
叶斐然,我才不想高攀你,原创-言情-近代现代-爱情,完结,514501,2025-05-24 23:29:58,女主,写完啦,中国大陆出版最新签约,已签约,76496,70574,73728,"2,383,394,048","都市,豪门世家,近水楼台,天之骄子,甜文,暗恋",9.4,187,76%,20%,3%,1%,1%
六盲星,如果月亮不抱你,原创-言情-近代现代-爱情,完结,266959,2020-01-17 20:17:49,女主,2018完结文,"中国大陆出版最新签约,亚洲出版签约",已签约,593159,34669,426625,"4,646,651,392","豪门世家,情有独钟,青梅竹马,甜文,正剧",9.1,1180,65%,27%,6%,1%,0%
唧唧的猫,温柔有九分,原创-言情-近代现代-爱情,完结,280272,2020-05-15 15:41:03,女主,完结,"中国大陆出版最新签约,繁体出版(港/台)签约",已签约,261291,23327,258612,"4,093,634,816","天之骄子,校园,正剧",9.5,803,78%,19%,3%,0%,0%
闵然,余生为期,原创-百合-近代现代-爱情,完结,776847,2022-01-30 14:54:19,互攻,流年似水,"中国大陆出版最新签约,广播剧签约,漫画签约",已签约,320604,72960,281342,"3,106,034,944","年下,都市,花季雨季,情有独钟,正剧",9.9,1917,95%,4%,0%,0%,0%
竹枳,作茧,原创-言情-近代现代-爱情,完结,386425,2025-05-20 21:54:23,女主,写点儿开心的,中国大陆出版最新签约,已签约,8313,1418,8336,"138,044,288","都市,豪门世家,情有独钟,天之骄子,校园",10,8,100%,0%,0%,0%,0%
叹西茶,你的眼里有春天,原创-言情-近代现代-爱情,完结,269587,2025-04-10 18:52:49,双视角,有缘就写,中国大陆出版最新签约,已签约,7705,4668,8228,"168,696,768","情有独钟,甜文,成长,校园,轻松,治愈",9.9,41,93%,7%,0%,0%,0%
唐酒卿,过天门,原创-纯爱-架空历史-仙侠,完结,481561,2023-10-01 19:00:00,主受,山见月,"中国大陆出版最新签约,广播剧签约,亚洲出版签约",已签约,58077,186572,141304,"4,147,856,384","强强,灵异神怪,情有独钟,天作之合,正剧",9.5,736,79%,18%,3%,0%,0%
言月野,城市进入雨季时,原创-言情-近代现代-爱情,完结,155418,2024-11-25 22:13:19,女主,成品,中国大陆出版最新签约,已签约,194,43,127,"8,609,789","都市,近水楼台,甜文,时尚圈,成长",10,1,100%,0%,0%,0%,0%
十清杳,重生后和初恋be了,原创-言情-近代现代-爱情,完结,215534,2025-08-20 21:14:11,女主,写完噜,中国大陆出版最新签约,已签约,688,603,761,"85,269,080","花季雨季,虐文,阴差阳错,重生,校园,BE",10,30,100%,0%,0%,0%,0%
祝麟,失忆后死对头成了我男,原创-纯爱-近代现代-爱情,完结,271690,2024-08-07 19:22:20,主受,无从属系列,"中国大陆出版最新签约,广播剧签约",已签约,271143,160146,268482,"3,173,381,120","成长,校园,轻松",9.6,3548,81%,17%,1%,0%,0%
折卷,大雨落下的瞬间,原创-言情-近代现代-爱情,完结,485485,2025-07-31 21:24:09,女主,开椰,中国大陆出版最新签约,已签约,109330,26780,105065,"1,429,338,624","天之骄子,青梅竹马,甜文,校园,轻松,群像",9.8,394,91%,8%,1%,0%,0%
番大王,去你的岛,原创-言情-幻想未来-爱情,完结,190656,2020-08-03 22:49:35,女主,长篇 之 完结,"中国大陆出版最新签约,影视签约,动画签约,广播剧签约,衍生品签约,亚洲出版签约",已签约,272593,23590,307789,"2,038,439,808","成长,异想天开,奇谭,正剧",9.7,3799,87%,11%,2%,0%,0%
苏其,冬日回礼,原创-言情-近代现代-爱情,完结,368483,2025-08-01 17:37:09,女主,崽崽文,中国大陆出版最新签约,已签约,177324,34231,105720,"1,798,559,232","豪门世家,情有独钟,甜文,萌娃,先婚后爱",9.5,224,75%,24%,1%,0%,0%
今叙,烧心,原创-言情-近代现代-爱情,完结,332752,2024-10-22 10:18:26,女主,叙叙的故事,中国大陆出版最新签约,已签约,108294,5168,123923,"1,073,377,152","破镜重圆,天之骄子,暗恋,救赎",9,209,67%,20%,7%,3%,2%
甜野豹,小云氧气,原创-言情-近代现代-爱情,未知,74299,2025-08-05 10:17:37,女主,豹豹想你,中国大陆出版最新签约,已签约,813,48,201,"12,549,107","花季雨季,情有独钟,天之骄子,BE",0,0,0%,0%,0%,0%,0%
只青川,澄澈,原创-言情-近代现代-爱情,完结,376771,2023-08-30 22:10:47,女主,赴场青春宴,中国大陆出版最新签约,已签约,55904,3607,36906,"261,965,488","情有独钟,甜文,暗恋",9.4,80,75%,20%,5%,0%,0%
三师公和二缺,赋彩,原创-言情-近代现代-爱情,完结,264050,2025-06-11 21:10:55,女主,现言,中国大陆出版最新签约,已签约,3782,440,4733,"38,916,796","情有独钟,因缘邂逅,励志,甜文,钓系",9.9,30,97%,3%,0%,0%,0%
绿骨头,燃烧,原创-言情-近代现代-爱情,完结,209613,2024-08-15 12:45:55,女主,完结·轻舟已过万重山,中国大陆出版最新签约,已签约,4572,214,3477,"29,231,298","励志,成长,正剧,日常,现实,救赎",9,14,64%,21%,14%,0%,0%
六珞,海盐气泡水[校园],原创-言情-近代现代-爱情,完结,409955,2025-11-07 11:20:19,女主,进行中,中国大陆出版最新签约,已签约,680,104,641,"13,725,543","花季雨季,因缘邂逅,励志,甜文,成长,校园",10,1,100%,0%,0%,0%,0%
巫哲,一个钢镚儿,原创-纯爱-近代现代-爱情,完结,675338,2017-08-13 10:10:00,互攻,轻松现代,"中国大陆出版最新签约,广播剧签约,漫画签约",已签约,476628,288106,527186,"14,761,144,320",轻松,9.7,849,87%,12%,1%,0%,0%
木甜,旧词新唱,原创-言情-近代现代-爱情,完结,92539,2025-06-19 01:18:25,女主,苦艾茶（BE） 之 明烛,中国大陆出版最新签约,已签约,551,174,542,"75,893,968","情有独钟,阴差阳错,天之骄子,校园,BE",8,2,0%,100%,0%,0%,0%
帘十里,薄荷生巧,原创-言情-近代现代-爱情,完结,38434,2024-12-19 23:00:00,女主,包月短篇小饼干,中国大陆出版最新签约,已签约,8209,141,1934,"105,100,984","花季雨季,天之骄子,追爱火葬场",暂无,0,0%,0%,0%,0%,0%
扶梦,我夫君是灭世魔头,原创-言情-架空历史-仙侠,完结,538018,2025-06-03 05:08:19,女主,连载中,中国大陆出版最新签约,已签约,476536,194151,419565,"8,667,344,896","情有独钟,天作之合,仙侠修真,甜文,轻松",9.7,2359,87%,11%,2%,0%,0%
多梨,六十二年冬,原创-言情-近代现代-爱情,完结,116030,2025-09-21 19:53:23,女主,时间海,中国大陆出版最新签约,已签约,201752,13364,113286,"1,837,868,160","情有独钟,天作之合,青梅竹马,时代新风",9.8,3364,93%,6%,1%,0%,0%
山颂,旅鸟,原创-纯爱-近代现代-爱情,完结,415513,2022-11-26 21:00:00,双视角,春日 之 公路旅行,中国大陆出版最新签约,已签约,15801,4723,20245,"399,338,080","都市,情有独钟,天作之合,市井生活,BE,公路文",9.7,210,87%,12%,0%,0%,0%
鹊桥西,仙娥顾我,原创-言情-架空历史-爱情,完结,529880,2022-12-31 05:09:25,女主,可爱女鹅,中国大陆出版最新签约,已签约,198469,20212,137491,"1,288,400,256","天作之合,甜文,轻松",9.3,476,70%,27%,3%,0%,0%
图样先森,救命！暗恋对象会读心,原创-言情-近代现代-爱情,完结,520049,2025-04-10 18:52:57,女主,沙雕作者，在线秃头,中国大陆出版最新签约,已签约,184570,153011,165301,"4,173,112,576","幻想空间,情有独钟,天之骄子,甜文,校园,脑洞",9.4,717,76%,20%,4%,0%,0%
卿隐,皇贵妃,原创-言情-架空历史-爱情,完结,361037,2022-03-08 00:32:00,女主,香烬三部曲,中国大陆出版最新签约,已签约,154046,30492,72621,"1,030,506,240","穿越时空,正剧",6,211,31%,15%,14%,8%,33%
初厘,错号后,原创-言情-近代现代-爱情,完结,443223,2025-08-22 08:35:05,女主,京春,中国大陆出版最新签约,已签约,86689,17626,73176,"1,208,010,880","破镜重圆,婚恋,励志,成长,轻松,暗恋",9.6,65,80%,18%,2%,0%,0%
閲后即焚,捞不到的月亮,原创-言情-近代现代-爱情,完结,690714,2023-11-05 12:36:20,女主,完结 之 1,中国大陆出版最新签约,已签约,41677,3106,61768,"751,162,496","都市,豪门世家,情有独钟,天之骄子,正剧,追爱火葬场",8.8,97,71%,12%,8%,3%,5%
醇白,被楼下帅哥冷脸敲门后,原创-言情-近代现代-爱情,完结,281432,2025-06-24 04:16:12,女主,秦南市·滨阳市·甜清 之 入室谈爱,中国大陆出版最新签约,已签约,107615,32868,105306,"1,707,527,296","近水楼台,天之骄子,甜文,非遗,救赎,创业",9.4,429,76%,20%,3%,0%,1%
咬枝绿,发梦蜉蝣,原创-言情-近代现代-爱情,完结,328030,2025-10-21 17:58:23,女主,绿牌酸饮,中国大陆出版最新签约,已签约,55796,26390,44364,"1,034,053,568","破镜重圆,天之骄子,暗恋",9.8,407,92%,8%,0%,0%,0%
容光,我的独立日,原创-言情-近代现代-爱情,未知,0,未知,未知,无,未签约,未签约,0,0,0,0,无,0,0,0%,0%,0%,0%,0%
艳扶,降临日[末世],原创-言情-幻想未来-剧情,完结,793459,2024-10-16 03:34:06,女主,近期完结文,中国大陆出版最新签约,已签约,94825,38582,103695,"1,215,394,048","末世,女强,升级流,废土,救赎",9.7,431,86%,13%,0%,0%,0%
叶斐然,请别放弃治疗,原创-言情-近代现代-爱情,完结,379461,2022-10-08 09:41:47,女主,写完啦,"影视签约,衍生品签约,中国大陆出版最新签约",已签约,111571,55333,67239,"2,844,297,728","都市,因缘邂逅,励志,轻松,创业",8.9,300,54%,38%,6%,2%,0%
殊娓,十五个黄昏,原创-言情-近代现代-爱情,完结,273127,2025-04-02 10:07:57,女主,【我的人间】连载中,中国大陆出版最新签约,已签约,42012,48777,44333,"1,493,991,296",情有独钟,9.6,161,83%,16%,1%,1%,0%
巫哲,格格不入,原创-纯爱-近代现代-爱情,完结,539314,2015-03-27 10:22:20,双视角,轻松现代,"中国大陆出版最新签约,广播剧签约,繁体出版(港/台)签约",已签约,320230,97058,297301,"7,947,139,584",正剧,9.7,615,87%,10%,2%,0%,0%
梨橙橙,重回我爸少年时,原创-纯爱-近代现代-爱情,完结,694555,2024-05-12 07:26:02,主受,散装糖★OvO,"广播剧签约,中国大陆出版最新签约",已签约,155671,32908,128089,"2,192,190,976","情有独钟,破镜重圆,重生,甜文,团宠,美强惨",9.4,1130,75%,22%,3%,0%,0%
槐故,难渡,原创-言情-近代现代-爱情,完结,406364,2025-02-16 20:08:00,女主,系列文·越粉越疯,中国大陆出版最新签约,已签约,230447,39958,196965,"2,819,324,928","情有独钟,天作之合,业界精英,成长",9.5,410,80%,15%,3%,0%,1%
大耳朵怪叫驴,暗恋的盐树枝,原创-言情-近代现代-爱情,完结,402045,2025-11-09 16:43:27,女主,现言,中国大陆出版最新签约,已签约,105446,18883,109746,"780,894,400","豪门世家,情有独钟,天之骄子,校园,暗恋,救赎",9.6,344,83%,15%,2%,0%,0%
唧唧的猫,小鱼薄荷,原创-言情-近代现代-爱情,完结,309128,2025-01-21 21:53:35,女主,连载,"网络剧签约,中国大陆出版最新签约,广播剧签约",已签约,506240,902703,474657,"13,398,808,576","情有独钟,轻松",9.9,8039,95%,4%,1%,0%,0%
明开夜合,雾里青,原创-言情-近代现代-爱情,完结,320510,2023-12-12 18:40:27,女主,2023年,"中国大陆出版最新签约,电视剧签约,网络剧签约,衍生品签约",已签约,298052,79293,219073,"4,621,691,904","都市,情有独钟,业界精英",9.4,1258,76%,21%,2%,0%,0%
折冬,偷偷看向他,原创-言情-近代现代-爱情,完结,426483,2025-01-05 22:59:26,女主,完结啦,中国大陆出版最新签约,已签约,15869,1307,14961,"216,268,016","情有独钟,天之骄子,甜文,成长,治愈,暗恋",8.3,8,50%,25%,13%,13%,0%
钟仅,假如梦有保质期,原创-言情-近代现代-爱情,完结,62825,2025-03-21 14:01:38,女主,连载中,"中国大陆出版最新签约,亚洲出版签约",已签约,58968,4009,31241,"286,545,600","幻想空间,情有独钟,欢喜冤家,正剧",9.8,864,92%,7%,1%,0%,0%
初啾,加错哥哥微信后,原创-言情-近代现代-爱情,完结,169291,2025-11-16 23:42:56,女主,完结·言情·可直接食用,中国大陆出版最新签约,已签约,26731,5320,31959,"442,882,688","情有独钟,天作之合,天之骄子,甜文,校园,日常",9.2,135,68%,26%,6%,0%,0%
柚子多肉,视线回避是心动的开始,原创-言情-近代现代-爱情,完结,286281,2025-02-21 16:21:41,女主,已完结,中国大陆出版最新签约,已签约,161190,44047,124521,"1,798,965,760","情有独钟,甜文,轻松,日常,总裁",9.5,435,77%,21%,2%,0%,0%
松雪酥,在国子监开小卖部,原创-言情-架空历史-爱情,完结,494134,2025-04-14 12:44:34,女主,三餐四季即烟火,中国大陆出版最新签约,已签约,156643,38473,135509,"2,283,610,624","穿越时空,种田文,美食,治愈,日常,群像",9.4,445,74%,24%,2%,0%,0%
弥萝,朝暮与你,原创-言情-近代现代-爱情,完结,306957,2024-10-21 19:25:38,女主,烘培间[许你在我的世界放肆],中国大陆出版最新签约,已签约,30554,2056,23839,"336,082,112","都市,豪门世家,甜文",9.4,10,70%,30%,0%,0%,0%
黑猫白袜子,升棺见喜,原创-纯爱-近代现代-惊悚,完结,510782,2023-02-09 15:08:31,主受,古老时代的我爱重口味,中国大陆出版最新签约,已签约,343301,65424,287158,"4,850,708,480","灵异神怪,惊悚,情有独钟,玄学,正剧",9.5,1789,76%,22%,2%,0%,0%
一十四洲,逆鳞,原创-纯爱-架空历史-仙侠,完结,608948,2024-08-25 02:30:00,主受,种植ing,"中国大陆出版最新签约,广播剧签约",已签约,124406,260830,158551,"5,241,786,880","强强,生子,仙侠修真,东方玄幻",9.7,1283,87%,11%,2%,0%,0%
闵然,冬日花火,原创-百合-近代现代-爱情,完结,62357,2025-05-14 20:00:00,互攻,正在更新,"广播剧签约,中国大陆出版最新签约",已签约,31130,7482,18930,"451,725,376","年下,都市,情有独钟,因缘邂逅,正剧",9.9,746,97%,3%,0%,0%,0%
酱子贝,我死对头终于破产了,原创-纯爱-近代现代-爱情,完结,429794,2019-06-28 10:23:36,主受,耽美·写完了,"中国大陆出版最新签约,繁体出版(港/台)签约,广播剧签约,亚洲出版签约,漫画签约",已签约,1117893,231053,730878,"13,818,674,176","强强,豪门世家,情有独钟,恋爱合约,轻松",9.5,6355,81%,16%,2%,0%,1%
弱水千流,叮！甜度已超标,原创-言情-近代现代-爱情,完结,512326,2025-05-16 19:26:17,女主,预收排队ing,中国大陆出版最新签约,已签约,187117,40777,160003,"3,084,584,960","情有独钟,天作之合,业界精英,甜文",9.5,355,79%,18%,1%,1%,0%
拉面土豆丝,风信子的春天,原创-言情-近代现代-爱情,完结,228468,2025-03-14 18:11:59,女主,写完了/done,中国大陆出版最新签约,已签约,2555,1128,2155,"102,973,224","因缘邂逅,阴差阳错,市井生活,创业,单元文,群像",10,16,100%,0%,0%,0%,0%
碎厌,拉过勾的,原创-言情-近代现代-爱情,完结,386077,2025-04-04 08:52:45,女主,-Tonight,中国大陆出版最新签约,已签约,31130,8472,27708,"227,815,584","情有独钟,近水楼台,天作之合,青梅竹马,甜文,校园",9.9,59,97%,3%,0%,0%,0%
今愉,盛夏将至,原创-言情-近代现代-爱情,完结,171428,2025-03-06 20:20:39,女主,这里有好多摸完的鱼,中国大陆出版最新签约,已签约,2628,700,2392,"32,485,086","情有独钟,励志,成长,暗恋,救赎",10,9,100%,0%,0%,0%,0%
桑知枝,落日飞鸟[校园],原创-言情-近代现代-爱情,完结,302437,2025-07-25 21:49:23,女主,Dream Come True·美梦成真,中国大陆出版最新签约,已签约,2671,129,1705,"21,022,734","花季雨季,情有独钟,校园,轻松,美强惨,日久生情",9.1,7,71%,14%,14%,0%,0%
张八至,迟来的少年1997,原创-言情-近代现代-爱情,完结,278088,2025-09-11 22:31:16,女主,可以开饭了,中国大陆出版最新签约,已签约,717,131,731,"11,822,699","花季雨季,青梅竹马,成长,逆袭,日常,暗恋",暂无,0,0%,0%,0%,0%,0%
怀南小山,南瓜马车不停站,原创-言情-近代现代-爱情,完结,359778,2025-10-09 20:26:40,女主,青春的黑夜挑灯流浪,中国大陆出版最新签约,已签约,27862,10844,29964,"280,056,864","天之骄子,青梅竹马,校园,暗恋",9.9,139,95%,4%,1%,0%,0%
木兮蜻蜓,在旧神游戏中扮演NPC[,原创-言情-幻想未来-游戏,完结,960653,2023-03-12 21:59:13,女主,正在日更中b(￣▽￣)d 之 纹章师,中国大陆出版最新签约,已签约,97911,17980,63164,"556,807,936","强强,幻想空间,无限流,爽文,正剧,克苏鲁",8.7,244,44%,48%,7%,0%,0%
明春鸢,换嫁春风,原创-言情-架空历史-爱情,完结,678360,2025-08-25 13:22:29,女主,古代,"中国大陆出版最新签约,亚洲出版签约",已签约,576552,90013,380531,"6,397,243,392","天作之合,穿越时空,宅斗,甜文,成长,先婚后爱",8.8,829,52%,37%,9%,1%,1%
yespear,番茄假想,原创-言情-近代现代-爱情,完结,313000,2025-07-20 17:40:40,女主,蘇打水 之 Tomato,中国大陆出版最新签约,已签约,20740,8457,23000,"239,904,288","都市,甜文,成长,暗恋,先婚后爱",9.9,109,95%,5%,0%,0%,0%
木瓜黄,一觉醒来听说我结婚了,原创-纯爱-近代现代-爱情,完结,468782,2017-02-02 22:22:22,主受,完结了，挑着看吧,"繁体出版(港/台)签约,中国大陆出版最新签约,广播剧签约,亚洲出版签约",已签约,702085,84981,523996,"7,089,139,712","娱乐圈,甜文,爽文,轻松",9.1,2029,67%,26%,6%,1%,1%
今雾,藏月,原创-言情-近代现代-爱情,完结,332547,2025-11-02 00:32:46,女主,现在也不快,中国大陆出版最新签约,已签约,57760,11978,66675,"881,666,240","情有独钟,天作之合,甜文,成长",9.7,51,86%,12%,2%,0%,0%
酱子贝,PUBG世纪网恋,原创-纯爱-近代现代-爱情,完结,430796,2018-10-18 21:05:00,主受,耽美·写完了,"中国大陆出版最新签约,亚洲出版签约,繁体出版(港/台)签约",已签约,821225,224214,643805,"13,259,865,088","情有独钟,体育竞技,甜文,直播,轻松,电竞",9.3,7467,73%,22%,4%,0%,1%
公子于歌,冒牌王爷,原创-纯爱-架空历史-爱情,完结,457075,2025-01-15 18:34:27,主受,二十万以上收藏,中国大陆出版最新签约,已签约,277218,106574,272285,"4,862,742,528","穿越时空,甜文,朝堂,成长",9.4,1297,77%,19%,3%,1%,0%
或扉,火与花影,原创-言情-近代现代-爱情,完结,160527,2025-03-18 16:54:53,女主,封顶大吉,中国大陆出版最新签约,已签约,3216,558,2969,"36,650,768","情有独钟,破镜重圆,甜文,校园,学霸",9.8,8,88%,13%,0%,0%,0%
浮游飞絮,茫茫,原创-言情-架空历史-爱情,完结,250863,2025-02-12 08:02:18,女主,完结,中国大陆出版最新签约,已签约,14232,2711,18087,"256,843,904","灵异神怪,宫廷侯爵,情有独钟,天作之合,天之骄子,古代幻想",9.6,123,81%,17%,2%,0%,0%
多梨,蘑菇蘑菇,原创-言情-近代现代-爱情,完结,132922,2025-04-16 18:00:00,女主,2025,中国大陆出版最新签约,已签约,81036,43311,71733,"1,624,448,000","时代奇缘,情有独钟,治愈,脑洞,暗恋",9.2,630,66%,28%,5%,0%,0%
小长衿,七里冬,原创-言情-近代现代-爱情,完结,378411,2025-09-16 03:07:12,女主,乌托邦,中国大陆出版最新签约,已签约,9206,2032,13096,"186,970,640","校园,正剧,暗恋,HE",10,4,100%,0%,0%,0%,0%
小布爱吃蛋挞,你我之间,原创-言情-近代现代-爱情,完结,136503,2025-05-05 20:00:00,女主,签约言情～,中国大陆出版最新签约,已签约,371,727,476,"55,855,308","花季雨季,甜文,成长,校园,BE",9.6,5,80%,20%,0%,0%,0%
小布爱吃蛋挞,海边来晤,原创-言情-近代现代-爱情,完结,369999,2025-02-03 20:00:00,女主,签约言情～,中国大陆出版最新签约,已签约,4149,3199,5806,"166,116,576","都市,美食,成长,轻松,现实,群像",9.9,28,93%,7%,0%,0%,0%
春天不见你,说谎,原创-言情-近代现代-爱情,完结,198768,2022-03-18 21:56:56,女主,春天,中国大陆出版最新签约,已签约,116972,3375,92591,"646,958,656","情有独钟,破镜重圆,甜文,轻松",9.3,258,71%,24%,5%,0%,1%
清途R,以无旁骛热恋,原创-言情-近代现代-爱情,完结,194399,2025-04-02 15:00:00,女主,HE,中国大陆出版最新签约,已签约,3773,2019,3939,"135,892,496","情有独钟,天之骄子,成长,校园,暗恋",9.1,16,69%,19%,13%,0%,0%
岁岁无恙,备忘录被同步到他手机,原创-言情-近代现代-爱情,完结,359126,2025-06-17 19:59:55,女主,正在努力中,中国大陆出版最新签约,已签约,108366,22760,88436,"1,170,862,336","情有独钟,业界精英,甜文,成长,先婚后爱,非遗",9.2,178,63%,34%,3%,0%,0%
风歌且行,被无情道小师弟倒追了,原创-言情-架空历史-仙侠,完结,1101527,2025-04-29 02:53:20,女主,已经揍过的，被打得鼻青脸肿，现在很老实,中国大陆出版最新签约,已签约,162510,33780,168864,"2,986,148,352","情有独钟,欢喜冤家,天之骄子,仙侠修真,成长,群像",9.6,762,82%,15%,3%,0%,0%
一夕月,下雨天我会想你,原创-言情-近代现代-爱情,完结,292354,2025-02-05 00:30:00,女主,写完啦,中国大陆出版最新签约,已签约,3480,681,4379,"56,117,136","花季雨季,情有独钟,天之骄子,励志,甜文,暗恋",9.2,5,60%,40%,0%,0%,0%
柚贝,冬灯,原创-言情-近代现代-爱情,完结,82828,2025-05-28 11:51:48,女主,冬秋夏春,中国大陆出版最新签约,已签约,378,221,314,"20,040,628","都市,花季雨季,高岭之花",9,2,50%,50%,0%,0%,0%
林小枣,第99次crush,原创-言情-近代现代-爱情,完结,72917,2024-12-24 21:34:43,女主,新鲜出炉 之 小礼物,中国大陆出版最新签约,已签约,4152,349,2339,"55,340,672","都市,因缘邂逅,暗恋",9.5,71,86%,10%,0%,3%,1%
草履,死对头穿成我的猫,原创-纯爱-近代现代-爱情,完结,316630,2024-01-14 15:36:38,主受,渡我 之 雾海,中国大陆出版最新签约,已签约,20251,12604,20500,"296,979,104","异能,甜文,都市异闻,成长,萌宠",9.7,422,85%,13%,2%,0%,0%
priest,纯白恶魔,原创-纯爱-幻想未来-奇幻,完结,633470,2024-04-20 18:00:00,主受,流放者之歌 之 一,"广播剧签约,中国大陆出版最新签约",已签约,228847,490757,265213,"6,993,455,616","异世大陆,异能,升级流,正剧",9.9,3511,95%,4%,0%,0%,0%
池盎,潮湿蝴蝶,原创-言情-近代现代-爱情,完结,403806,2025-07-05 23:31:43,女主,酒酽春浓,中国大陆出版最新签约,已签约,16241,1352,11246,"164,046,208","情有独钟,因缘邂逅,甜文,校园,救赎",9.3,12,67%,33%,0%,0%,0%
泡泡藻,吞没,原创-言情-近代现代-爱情,完结,460898,2025-09-07 04:07:13,女主,,中国大陆出版最新签约,已签约,169609,12843,120331,"1,134,927,872","豪门世家,情有独钟,天之骄子,狗血,腹黑",8.8,97,71%,15%,5%,0%,8%
凤久安,本神还没死呢！,原创-言情-架空历史-仙侠,完结,400333,2019-11-24 19:03:01,女主,古代仙侠类 之 他是龙,中国大陆出版最新签约,已签约,102262,7107,40940,"704,748,864","灵异神怪,女强,东方玄幻,异想天开,轻松",9.2,179,66%,27%,7%,0%,0%
PM8,在北方,原创-言情-近代现代-爱情,完结,360000,2025-03-16 22:19:43,女主,20:00,中国大陆出版最新签约,已签约,1272,487,1562,"42,472,724","日常,HE,救赎",10,13,100%,0%,0%,0%,0%
澄昔,醒春集,原创-言情-近代现代-爱情,完结,339084,2025-08-28 14:24:01,女主,蓝调,中国大陆出版最新签约,已签约,45218,9478,49279,"630,629,312","都市,情有独钟,钓系",9.7,106,86%,11%,3%,0%,0%
归渔,恋爱浪费指南,原创-言情-近代现代-爱情,未知,210121,2025-08-19 01:44:58,女主,浇水中,中国大陆出版最新签约,已签约,7129,5009,6352,"99,912,392","都市,正剧",0,0,0%,0%,0%,0%,0%
钝书生,你怎么跟我舅舅结婚了,原创-言情-近代现代-爱情,完结,207902,2025-07-17 23:52:03,女主,人善被人妻,中国大陆出版最新签约,已签约,52447,24764,51692,"489,742,656","豪门世家,女配,甜文,现代架空,穿书,轻松",9.6,938,83%,17%,1%,0%,0%
陈十年,求神不如求我,原创-言情-架空历史-爱情,完结,381233,2024-01-09 04:30:58,女主,完结｜甜甜的梦,中国大陆出版最新签约,已签约,64195,3067,45349,"578,362,176","宫廷侯爵,情有独钟,天作之合,甜文,轻松",8.1,36,36%,42%,14%,8%,0%
木甜,旧时雪,原创-言情-近代现代-爱情,完结,272246,2025-09-10 03:57:58,女主,旧车站 之 魔都,中国大陆出版最新签约,已签约,5379,2612,6995,"171,604,480","情有独钟,青梅竹马,市井生活,成长,时代新风,群像",9.5,34,79%,18%,3%,0%,0%
自矜,初恋独角戏,原创-言情-近代现代-爱情,完结,181532,2025-03-03 23:31:41,女主,风月误 之 清醒梦,中国大陆出版最新签约,已签约,243,71,169,"7,716,627","成长,校园,悲剧,暗恋,BE,救赎",8,2,50%,0%,50%,0%,0%
柚栩,陈糖烈酒,原创-言情-近代现代-爱情,完结,332055,2025-05-03 21:52:39,女主,风絮往事,中国大陆出版最新签约,已签约,9170,1334,10296,"82,127,696","花季雨季,情有独钟,破镜重圆,市井生活,救赎",9.6,17,88%,6%,6%,0%,0%
