作者,名称,类型,进度,字数,发表时间,作品视角,所属系列,版权转化,签约状态,非v章节章均点击数,总书评数,当前被收藏数,文章积分,内容标签,评分,评价人数,五星比例,四星比例,三星比例,二星比例,一星比例
卤肉盖饭,捡到一只绿茶鬼,原创-言情-架空历史-奇幻,完结,370911,2025-03-23 00:06:07,女主,客官慢用,中国大陆出版最新签约,已签约,3477,914,3436,"50,552,296","灵异神怪,情有独钟,仙侠修真,重生,甜文,成长",9.8,30,90%,10%,0%,0%,0%
州府小十三,轻响,原创-言情-近代现代-爱情,完结,496522,2024-01-08 16:30:41,女主,奇奇怪怪的校园风-,中国大陆出版最新签约,已签约,35673,1468,21116,"194,361,632","都市,破镜重圆,天之骄子,励志,轻松",8.5,19,53%,26%,16%,5%,0%
州府小十三,当我拿错三次猫之后,原创-言情-近代现代-爱情,完结,418798,2025-05-23 12:31:33,女主,超绝甜饼！,中国大陆出版最新签约,已签约,62573,16957,53905,"509,441,312","都市,情有独钟,因缘邂逅,天作之合,娱乐圈,甜文",9.1,74,59%,34%,7%,0%,0%
嚼云朵,关于死后变成前男友的,原创-言情-近代现代-爱情,完结,123824,2025-11-09 13:32:57,女主,嘿嘿写完啦，请吃！ 之 2025,中国大陆出版最新签约,已签约,17659,5354,19103,"300,559,776","灵魂转换,破镜重圆,甜文,校园,萌宠,治愈",9.7,512,85%,14%,1%,0%,0%
臣年,荒唐,原创-言情-近代现代-爱情,完结,527351,2025-05-15 18:51:33,女主,系列文：恃宠而骄,中国大陆出版最新签约,已签约,116283,80846,106808,"2,875,372,544","情有独钟,天之骄子,业界精英,甜文,成长,轻松",9.8,445,94%,4%,1%,0%,1%
在望w,我会忘记你,原创-言情-近代现代-爱情,完结,98313,2025-06-01 04:45:32,女主,2025,中国大陆出版最新签约,已签约,300,38,355,"11,347,009","虐文,成长,校园,暗恋,BE",10,1,100%,0%,0%,0%,0%
灿摇,不辞春山,原创-言情-架空历史-爱情,完结,545873,2023-12-20 01:00:26,女主,完结/正在写=v=,中国大陆出版最新签约,已签约,233976,10625,179105,"2,246,145,280","情有独钟,天作之合,重生,甜文,轻松",8.8,263,64%,24%,5%,2%,5%
莫里_,困在时间里的她,原创-无CP-近代现代-悬疑,完结,212355,2023-10-24 23:13:43,女主,女主言情&女主无cp,中国大陆出版最新签约,已签约,4428,1369,7321,"320,024,128","娱乐圈,励志,复仇虐渣,都市异闻,正剧",9.4,112,73%,21%,5%,0%,0%
笑佳人,残疾王爷站起来了,原创-言情-架空历史-爱情,完结,696573,2025-02-28 12:00:03,女主,最新 之 艳阳,中国大陆出版最新签约,已签约,520880,548190,397149,"9,473,715,200","甜文,爽文,轻松,日常,先婚后爱",9.7,1984,86%,12%,1%,0%,0%
人不如云,溺与毙[双向救赎],原创-言情-近代现代-爱情,完结,191436,2025-06-18 17:53:39,女主,云随风动,中国大陆出版最新签约,已签约,1364,80,1350,"15,253,707","都市,破镜重圆,治愈,日常,救赎",10,4,100%,0%,0%,0%,0%
